identifier,charity_number,company_number,filetype,filename,financial_year_end,org_type
GB-CHC-303199,303199,,pdf_ocr,accounts/GB-CHC-303199-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-308069,308069,,pdf_ocr,accounts/GB-CHC-308069-2017-01-31.pdf,2017-01-31 00:00:00,Charity
GB-CHC-313743,313743,,pdf_ocr,accounts/GB-CHC-313743-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-503597,503597,,pdf_ocr,accounts/GB-CHC-503597-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-508943,508943,,pdf_ocr,accounts/GB-CHC-508943-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-512109,512109,,pdf_ocr,accounts/GB-CHC-512109-2017-08-31.pdf,2017-08-31 00:00:00,Charity
GB-CHC-512486,512486,,pdf_ocr,accounts/GB-CHC-512486-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-515538,515538,,pdf_ocr,accounts/GB-CHC-515538-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-518551,518551,,pdf_ocr,accounts/GB-CHC-518551-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-518610,518610,,pdf_ocr,accounts/GB-CHC-518610-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-518946,518946,,pdf_ocr,accounts/GB-CHC-518946-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-518951,518951,,pdf_ocr,accounts/GB-CHC-518951-2017-08-30.pdf,2017-08-30 00:00:00,Charity
GB-CHC-519476,519476,,pdf_ocr,accounts/GB-CHC-519476-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-519687,519687,,pdf_ocr,accounts/GB-CHC-519687-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-519835,519835,,pdf_ocr,accounts/GB-CHC-519835-2017-08-31.pdf,2017-08-31 00:00:00,Charity
GB-CHC-519846,519846,,pdf_ocr,accounts/GB-CHC-519846-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-520727,520727,,pdf_ocr,accounts/GB-CHC-520727-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-523969,523969,,pdf_ocr,accounts/GB-CHC-523969-2014-03-31.pdf,2014-03-31 00:00:00,Charity
GB-CHC-700064,700064,,pdf_ocr,accounts/GB-CHC-700064-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-700084,700084,,pdf_ocr,accounts/GB-CHC-700084-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-702233,702233,,pdf_ocr,accounts/GB-CHC-702233-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-801064,801064,,pdf_ocr,accounts/GB-CHC-801064-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-802632,802632,,pdf_ocr,accounts/GB-CHC-802632-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC--,,,not found,,,Charity
GB-CHC-1023730.,,,not found,,,Charity
GB-CHC-1026632,,,not found,,,Charity
GB-CHC-10405802,,,not found,,,Charity
GB-CHC-1073474,,,not found,,,Charity
GB-CHC-10899149,,,not found,,,Charity
GB-CHC-1098368,,,not found,,,Charity
GB-CHC-110363,,,not found,,,Charity
GB-CHC-1103779,,,not found,,,Charity
GB-CHC-1111,,,not found,,,Charity
GB-CHC-114029,,,not found,,,Charity
GB-CHC-1140498,,,not found,,,Charity
GB-CHC-1144439,,,not found,,,Charity
GB-CHC-1145067,,,not found,,,Charity
GB-CHC-1150283,,,not found,,,Charity
GB-CHC-1157013,,,not found,,,Charity
GB-CHC-1164219,,,not found,,,Charity
GB-CHC-1167318,,,not found,,,Charity
GB-CHC-1168736,,,not found,,,Charity
GB-CHC-1169556,,,not found,,,Charity
GB-CHC-1171579,,,not found,,,Charity
GB-CHC-1171742,,,not found,,,Charity
GB-CHC-1172118,,,not found,,,Charity
GB-CHC-1172174,,,not found,,,Charity
GB-CHC-1174227,,,not found,,,Charity
GB-CHC-1174417,,,not found,,,Charity
GB-CHC-1175412,,,not found,,,Charity
GB-CHC-1176069,,,not found,,,Charity
GB-CHC-1179818,,,not found,,,Charity
GB-CHC-268172,,,not found,,,Charity
GB-CHC-271400,,,not found,,,Charity
GB-CHC-301893,,,not found,,,Charity
GB-CHC-3345511,,,not found,,,Charity
GB-CHC-511898,,,not found,,,Charity
GB-CHC-520502,,,not found,,,Charity
GB-CHC-7404,,,not found,,,Charity
GB-CHC-7568,,,not found,,,Charity
GB-CHC-7677,,,not found,,,Charity
GB-COH-00001504,,,not found,,,
GB-COH-00001589,,,not found,,,
GB-COH-00007231,,,not found,,,
GB-COH-00007721,,,not found,,,
GB-COH-00007779,,,not found,,,
GB-COH-00007812,,,not found,,,
GB-COH-0029726R,,,not found,,,Registered Society
GB-COH-0030219R,,,not found,,,Registered Society
GB-COH-0031409R,,,not found,,,Registered Society
GB-COH-0031907R,,,not found,,,Registered Society
GB-COH-0032211R,,,not found,,,Registered Society
GB-COH-0032339R,,,not found,,,Registered Society
GB-COH-01155534,,,not found,,,
GB-COH-01171595,,,not found,,,Private Limited Company
GB-COH-02711204,,,not found,,,
